ride_name,ride_id,bike,ride_distance,ride_moving_time,ride_elapsed_time,ride_elevation_gain,ride_start_time,segment_id
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,4039029
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,6798672
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,4860905
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,12504837
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,5271661
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,14243462
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,1319626
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,13441565
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,935201
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,14243487
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,6976453
To Haneys,60586379,,29072.30 m,0 days 01:10:47.000000000,0 days 01:16:24.000000000,104.00 m,2013-06-15 16:41:10,6976463
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,1055529
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,736464
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,1055626
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,11261511
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,17009049
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,7074486
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,11745581
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,736469
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,12325741
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,2374258
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21532949
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,1061187
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,8677450
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,8623492
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,1055529
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,1055626
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,11261511
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21469104
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,17368051
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21469031
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,932398
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,15089354
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21547808
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21773236
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,17368032
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21863490
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,21547833
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,12325741
Morning Ride in SB,62583346,,10164.80 m,0 days 01:02:12.000000000,0 days 01:13:29.000000000,304.40 m,2013-06-24 10:20:40,736445
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,821112
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,960874
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,706117
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,1018247
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,706113
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,4139377
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,1018257
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,4144137
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,3461819
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,10634259
Morning Ride in SB,63239476,,7015.70 m,0 days 01:04:32.000000000,0 days 01:16:49.000000000,293.90 m,2013-06-27 10:25:19,1520634
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,645355
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,14344158
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,14417337
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,9322510
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,10856212
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,4327160
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,4493390
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,21117418
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,17186234
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,14716360
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,794216
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,646769
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,7175332
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,17427672
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,17427654
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,1042067
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,20409540
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,12046898
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,10120694
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,9161068
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,8289617
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,12875747
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,9824381
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,4109585
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,12612318
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,2697222
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,1873937
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,10120664
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,10255202
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,10120747
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,7410674
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,644379
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,9160752
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,14586200
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,7047674
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,11824856
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,1214420
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,5000499
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,1666796
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,1666805
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,20523789
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,14804022
Anniversary Date,64584734,,18437.20 m,0 days 02:00:28.000000000,0 days 02:09:58.000000000,549.70 m,2013-07-03 17:19:17,7548386
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,4131452
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,8475279
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,771814
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1460931
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7947263
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,2322297
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,696277
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,644639
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1596368
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7092159
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,4186450
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,982733
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,14803342
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,8077652
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,2508655
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,8077653
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,9664719
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,10040014
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,762609
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,2144603
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,12247424
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,756032
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1238932
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,20975013
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,12584573
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1678412
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1682987
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1460936
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,646093
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7947275
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7947294
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7947305
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,9703947
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,14977429
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,771
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,12514881
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,1430965
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,5020328
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7946259
Date Ride,64977352,,21249.50 m,0 days 01:52:06.000000000,0 days 01:53:10.000000000,656.10 m,2013-07-05 13:54:14,7797863
