,segment_id,mean,median,std
5708,16569816.0,153.5,155.0,6.87386354243376
5709,16574811.0,815.5,815.5,24.5
5710,16575563.0,548.4,559.0,35.7077022503549
5711,16578705.0,303.0,303.0,0.0
5712,16579399.0,577.0,577.0,0.0
5713,16584061.0,120.0,120.0,0.0
5714,16588642.0,397.0,397.0,0.0
5715,16588728.0,1413.3333333333333,1437.0,89.35447511021607
5716,16588716.0,481.5,481.5,2.5
5717,16588503.0,270.25,271.5,23.27418097377435
5718,16590530.0,122.0,122.0,0.0
5719,16635152.0,172.5,172.5,2.5
5720,16640323.0,120.0,119.5,10.011104945120804
5721,16640332.0,167.05555555555554,172.5,13.3227967627014
5722,16646922.0,708.0,708.0,0.0
5723,16665033.0,2609.0,2609.0,0.0
5724,16669664.0,574.625,587.5,42.73007576637327
5725,16678907.0,853.3333333333334,868.0,37.392809766347085
5726,16678921.0,1599.6666666666667,1608.0,61.408920814125665
5727,16765258.0,83.88888888888889,86.0,4.6772367066331535
5728,16771415.0,1675.6666666666667,1686.0,22.83759084394752
5729,16780345.0,138.0,138.0,0.0
5730,16780902.0,136.0,136.0,4.0
5731,16785057.0,845.0,836.0,21.77154105707724
5732,16799397.0,1183.125,1176.0,71.3046939198255
5733,16804075.0,290.625,291.0,7.904705876881189
5734,16823863.0,2776.0,2776.0,0.0
5735,16824213.0,879.0,879.0,0.0
5736,16823901.0,644.0,644.0,33.0
5737,16824117.0,1000.0,1000.0,5.0
5738,16833456.0,71.0,71.0,0.0
5739,16847551.0,495.0,495.0,0.0
5740,16858397.0,115.4,115.0,3.7202150475476548
5741,16858707.0,92.0,92.0,0.0
5742,16869970.0,204.0,207.0,5.715476066494082
5743,16891062.0,582.0,582.0,10.0
5744,16918202.0,800.0,800.0,0.0
5745,16921074.0,246.5,246.5,10.307764064044152
5746,16923137.0,369.0,369.0,0.0
5747,16947878.0,436.27272727272725,435.0,30.585471622653873
5748,16953075.0,1115.6190476190477,1122.0,58.44409309879477
5749,16957789.0,645.8,695.0,66.84728865107394
5750,16967104.0,150.66666666666666,148.0,7.586537784494028
