,segment_id,mean,median,std
2223,2065321.0,1253.0,1253.0,0.0
2224,6839163.0,81.0,81.0,0.0
2225,3854820.0,106.0,106.0,0.0
2226,3731954.0,994.3333333333334,995.0,36.745370078721784
2227,2464265.0,1192.0,1192.0,41.0
2228,3816975.0,87.0,87.0,0.0
2229,2972077.0,2129.5,2129.5,14.5
2230,2702792.0,3521.0,3521.0,0.0
2231,680126.0,755.0,755.0,26.0
2232,3927323.0,689.5,689.5,63.5
2233,680351.0,747.5,747.5,29.5
2234,4628919.0,230.5,230.5,22.5
2235,826717.0,246.0,246.0,0.0
2236,6964561.0,155.0,155.0,1.0
2237,6967382.0,689.6666666666666,685.0,66.21849355647477
2238,6969363.0,1838.6666666666667,1747.0,193.6566262457572
2239,6969431.0,2770.5,2770.5,15.5
2240,6970757.0,2468.375,2453.5,152.85281932303374
2241,6976453.0,213.66666666666666,215.0,5.792715732327588
2242,6976463.0,164.0,164.0,2.0
2243,6979984.0,117.0625,114.5,11.177369715187917
2244,4495476.0,52.0,52.0,5.0
2245,6988372.0,160.0,160.0,0.0
2246,3944904.0,451.0,451.0,0.0
2247,4699933.0,743.0,743.0,0.0
2248,3697657.0,824.0,824.0,0.0
2249,671513.0,951.0,951.0,0.0
2250,4942408.0,217.0,217.0,0.0
2251,757824.0,1182.0,1182.0,0.0
2252,1713549.0,362.0,362.0,0.0
2253,1405437.0,183.0,183.0,0.0
2254,691811.0,1508.0,1508.0,0.0
2255,136103.0,1782.0,1782.0,0.0
2256,3944936.0,522.0,522.0,0.0
2257,763704.0,1979.0,1979.0,0.0
2258,1360925.0,1918.0,1918.0,0.0
2259,646588.0,1966.0,1966.0,0.0
2260,844284.0,481.0,481.0,0.0
2261,3573422.0,1972.0,1972.0,0.0
2262,1071113.0,497.5,497.5,2.5
2263,1223053.0,135.0,135.0,0.0
2264,5137540.0,574.0,574.0,0.0
2265,5829519.0,159.0,159.0,0.0
2266,3817690.0,272.0,272.0,0.0
2267,6924360.0,67.0,67.0,0.0
2268,3973491.0,331.0,331.0,0.0
2269,5999320.0,148.0,148.0,0.0
2270,5643556.0,23.0,22.0,1.4142135623730951
2271,2587756.0,151.0,151.0,0.0
2272,2587839.0,45.0,45.0,0.0
